Type,A,B,HP,Win
0,1,12,4,12
0,1,12,5,33
0,1,12,6,44
0,1,12,7,47
0,1,12,8,41
0,1,12,9,62
0,1,12,10,70
0,1,12,11,71
0,1,12,12,85
0,1,12,13,91
0,1,12,14,83
0,1,12,15,101
0,1,12,16,97
0,1,12,17,94
0,1,12,18,103
0,1,12,19,110
0,1,12,20,110
0,1,12,21,127
0,1,12,22,115
0,1,12,23,126
0,1,12,24,125
0,1,12,25,129
0,1,12,26,131
0,1,12,27,149
0,1,12,28,153
0,1,12,29,146
0,1,12,30,146
0,1,14,1,15
0,1,14,2,7
0,1,14,3,5
0,1,14,4,11
0,1,14,5,41
0,1,14,6,39
0,1,14,7,49
0,1,14,8,36
0,1,14,9,67
0,1,14,10,79
0,1,14,11,81
0,1,14,12,77
0,1,14,13,92
0,1,14,14,92
0,1,14,15,81
0,1,14,16,93
0,1,14,17,93
0,1,14,18,98
0,1,14,19,105
0,1,14,20,111
0,1,14,21,121
0,1,14,22,128
0,1,14,23,120
0,1,14,24,124
0,1,14,25,124
0,1,14,26,122
0,1,14,27,143
0,1,14,28,140
0,1,14,29,145
0,1,14,30,135
0,3,0,1,16
0,3,0,2,14
0,3,0,3,10
0,3,0,4,10
0,3,0,5,16
0,3,0,6,60
0,3,0,7,64
0,3,0,8,53
0,3,0,9,46
0,3,0,10,61
0,3,0,11,73
0,3,0,12,99
0,3,0,13,98
0,3,0,14,98
0,3,0,15,108
0,3,0,16,92
0,3,0,17,94
0,3,0,18,106
0,3,0,19,112
0,3,0,20,124
0,3,0,21,109
0,3,0,22,124
0,3,0,23,120
0,3,0,24,126
0,3,0,25,124
0,3,0,26,137
0,3,0,27,138
0,3,0,28,146
0,3,0,29,141
0,3,0,30,161
0,3,1,1,18
0,3,1,2,8
0,3,1,3,10
0,3,1,4,12
0,3,1,5,12
0,3,1,6,40
0,3,1,7,51
0,3,1,8,62
0,3,1,9,63
0,3,1,10,56
0,3,1,11,85
0,3,1,12,90
0,3,1,13,103
0,3,1,14,100
0,3,1,15,84
0,3,1,16,108
0,3,1,17,103
0,3,1,18,115
0,3,1,19,120
0,3,1,20,123
0,3,1,21,118
0,3,1,22,111
0,3,1,23,120
0,3,1,24,121
0,3,1,25,129
0,3,1,26,143
0,3,1,27,145
0,3,1,28,143
0,3,1,29,139
0,3,1,30,163
0,3,3,1,9
0,3,3,2,11
0,3,3,3,12
0,3,3,4,9
0,3,3,5,57
0,3,3,6,48
0,3,3,7,62
0,3,3,8,60
0,3,3,9,90
0,3,3,10,91
0,3,3,11,101
0,3,3,12,104
0,3,3,13,104
0,3,3,14,105
0,3,3,15,107
0,3,3,16,115
0,3,3,17,116
0,3,3,18,110
0,3,3,19,129
0,3,3,20,126
0,3,3,21,118
0,3,3,22,129
0,3,3,23,122
0,3,3,24,129
0,3,3,25,133
0,3,3,26,145
0,3,3,27,151
0,3,3,28,144
0,3,3,29,158
0,3,3,30,159
0,3,5,1,10
0,3,5,2,12
0,3,5,3,16
0,3,5,4,20
0,3,5,5,51
0,3,5,6,39
0,3,5,7,51
0,3,5,8,65
0,3,5,9,88
0,3,5,10,83
0,3,5,11,101
0,3,5,12,106
0,3,5,13,100
0,3,5,14,103
0,3,5,15,117
0,3,5,16,109
0,3,5,17,109
0,3,5,18,129
0,3,5,19,116
0,3,5,20,116
0,3,5,21,114
0,3,5,22,126
0,3,5,23,129
0,3,5,24,148
0,3,5,25,142
0,3,5,26,145
0,3,5,27,139
0,3,5,28,155
0,3,5,29,142
0,3,5,30,155
0,3,8,1,13
0,3,8,2,11
0,3,8,3,19
0,3,8,4,16
0,3,8,5,54
0,3,8,6,64
0,3,8,7,44
0,3,8,8,59
0,3,8,9,76
0,3,8,10,90
0,3,8,11,103
0,3,8,12,79
0,3,8,13,109
0,3,8,14,115
0,3,8,15,105
0,3,8,16,120
0,3,8,17,113
0,3,8,18,126
0,3,8,19,122
0,3,8,20,105
0,3,8,21,138
0,3,8,22,135
0,3,8,23,129
0,3,8,24,138
0,3,8,25,139
0,3,8,26,149
0,3,8,27,147
0,3,8,28,145
0,3,8,29,153
0,3,8,30,157
0,3,10,1,14
0,3,10,2,14
0,3,10,3,13
0,3,10,4,11
0,3,10,5,52
0,3,10,6,55
0,3,10,7,54
0,3,10,8,63
0,3,10,9,83
0,3,10,10,84
0,3,10,11,104
0,3,10,12,86
0,3,10,13,101
0,3,10,14,111
0,3,10,15,101
0,3,10,16,111
0,3,10,17,103
0,3,10,18,129
0,3,10,19,103
0,3,10,20,127
0,3,10,21,139
0,3,10,22,128
0,3,10,23,138
0,3,10,24,136
0,3,10,25,144
0,3,10,26,148
0,3,10,27,149
0,3,10,28,156
0,3,10,29,149
0,3,10,30,144
0,3,12,1,14
0,3,12,2,8
0,3,12,3,17
0,3,12,4,13
0,3,12,5,60
0,3,12,6,55
0,3,12,7,63
0,3,12,8,61
0,3,12,9,81
0,3,12,10,89
0,3,12,11,93
0,3,12,12,90
0,3,12,13,99
0,3,12,14,97
0,3,12,15,104
0,3,12,16,107
0,3,12,17,109
0,3,12,18,110
0,3,12,19,129
0,3,12,20,116
0,3,12,21,136
0,3,12,22,133
0,3,12,23,147
0,3,12,24,143
0,3,12,25,145
0,3,12,26,154
0,3,12,27,151
0,3,12,28,148
0,3,12,29,155
0,3,12,30,157
0,3,14,1,12
0,3,14,2,16
0,3,14,3,7
0,3,14,4,7
0,3,14,5,58
0,3,14,6,42
0,3,14,7,61
0,3,14,8,56
0,3,14,9,89
0,3,14,10,87
0,3,14,11,92
0,3,14,12,89
0,3,14,13,104
0,3,14,14,98
0,3,14,15,104
0,3,14,16,97
0,3,14,17,122
0,3,14,18,114
0,3,14,19,114
0,3,14,20,102
0,3,14,21,149
0,3,14,22,133
0,3,14,23,145
0,3,14,24,142
0,3,14,25,149
0,3,14,26,152
0,3,14,27,165
0,3,14,28,150
0,3,14,29,153
0,3,14,30,153
0,6,0,1,14
0,6,0,2,18
0,6,0,3,20
0,6,0,4,18
0,6,0,5,16
0,6,0,6,73
0,6,0,7,59
0,6,0,8,61
0,6,0,9,81
0,6,0,10,70
0,6,0,11,110
0,6,0,12,112
0,6,0,13,108
0,6,0,14,114
0,6,0,15,113
0,6,0,16,116
0,6,0,17,113
0,6,0,18,125
0,6,0,19,103
0,6,0,20,128
0,6,0,21,120
0,6,0,22,136
0,6,0,23,131
0,6,0,24,132
0,6,0,25,142
0,6,0,26,143
0,6,0,27,145
0,6,0,28,140
0,6,0,29,152
0,6,0,30,159
0,6,1,1,18
0,6,1,2,11
0,6,1,3,15
0,6,1,4,17
0,6,1,5,17
0,6,1,6,72
0,6,1,7,67
0,6,1,8,72
0,6,1,9,64
0,6,1,10,69
0,6,1,11,98
0,6,1,12,107
0,6,1,13,115
0,6,1,14,110
0,6,1,15,117
0,6,1,16,117
0,6,1,17,120
0,6,1,18,102
0,6,1,19,119
0,6,1,20,129
0,6,1,21,124
0,6,1,22,137
0,6,1,23,122
0,6,1,24,151
0,6,1,25,143
0,6,1,26,134
0,6,1,27,160
0,6,1,28,139
0,6,1,29,153
0,6,1,30,156
0,6,3,1,11
0,6,3,2,23
0,6,3,3,15
0,6,3,4,23
0,6,3,5,56
0,6,3,6,67
0,6,3,7,68
0,6,3,8,71
0,6,3,9,106
0,6,3,10,98
0,6,3,11,105
0,6,3,12,118
0,6,3,13,120
0,6,3,14,114
0,6,3,15,110
0,6,3,16,118
0,6,3,17,120
