A,B,S,C,HP,Win
9,8,10,5,59,54
9,8,10,5,60,42
9,8,10,5,61,36
9,8,10,5,62,41
9,8,10,5,63,38
9,8,10,5,64,62
9,8,10,5,65,54
9,8,10,5,66,56
9,8,10,5,67,66
9,8,10,5,68,59
9,8,10,5,69,81
9,8,10,5,70,82
9,8,10,5,71,98
9,8,10,5,72,89
9,8,10,5,73,101
9,8,10,5,74,95
9,8,10,5,75,108
9,8,10,5,76,107
9,8,10,5,77,113
9,8,10,5,78,96
9,8,10,5,79,117
9,8,10,5,80,117
9,8,10,5,81,120
9,8,10,5,82,128
9,8,10,7,40,7
9,8,10,7,41,13
9,8,10,7,42,12
9,8,10,7,43,17
9,8,10,7,44,9
9,8,10,7,45,18
9,8,10,7,46,21
9,8,10,7,47,22
9,8,10,7,48,20
9,8,10,7,49,20
9,8,10,7,50,21
9,8,10,7,51,20
9,8,10,7,52,15
9,8,10,7,53,23
9,8,10,7,54,24
9,8,10,7,55,41
9,8,10,7,56,38
9,8,10,7,57,39
9,8,10,7,58,45
9,8,10,7,59,50
9,8,10,7,60,43
9,8,10,7,61,39
9,8,10,7,62,46
9,8,10,7,63,52
9,8,10,7,64,54
9,8,10,7,65,51
9,8,10,7,66,53
9,8,10,7,67,79
9,8,10,7,68,60
9,8,10,7,69,73
9,8,10,7,70,86
9,8,10,7,71,101
9,8,10,7,72,93
9,8,10,7,73,93
9,8,10,7,74,102
9,8,10,7,75,108
9,8,10,7,76,106
9,8,10,7,77,102
9,8,10,7,78,112
9,8,10,7,79,121
9,8,10,7,80,120
9,8,10,7,81,126
9,8,10,7,82,133
9,8,10,9,40,22
9,8,10,9,41,14
9,8,10,9,42,14
9,8,10,9,43,7
9,8,10,9,44,17
9,8,10,9,45,20
9,8,10,9,46,25
9,8,10,9,47,13
9,8,10,9,48,21
9,8,10,9,49,25
9,8,10,9,50,15
9,8,10,9,51,12
9,8,10,9,52,21
9,8,10,9,53,25
9,8,10,9,54,32
9,8,10,9,55,39
9,8,10,9,56,28
9,8,10,9,57,46
9,8,10,9,58,34
9,8,10,9,59,48
9,8,10,9,60,32
9,8,10,9,61,42
9,8,10,9,62,45
9,8,10,9,63,38
9,8,10,9,64,45
9,8,10,9,65,33
9,8,10,9,66,61
9,8,10,9,67,56
9,8,10,9,68,74
9,8,10,9,69,73
9,8,10,9,70,78
9,8,10,9,71,99
9,8,10,9,72,91
9,8,10,9,73,104
9,8,10,9,74,105
9,8,10,9,75,105
9,8,10,9,76,119
9,8,10,9,77,105
9,8,10,9,78,116
9,8,10,9,79,112
9,8,10,9,80,111
9,8,10,9,81,122
9,8,10,9,82,113
9,8,10,11,40,14
9,8,10,11,41,6
9,8,10,11,42,17
9,8,10,11,43,16
9,8,10,11,44,12
9,8,10,11,45,23
9,8,10,11,46,23
9,8,10,11,47,34
9,8,10,11,48,34
9,8,10,11,49,39
9,8,10,11,50,42
9,8,10,11,51,37
9,8,10,11,52,38
9,8,10,11,53,49
9,8,10,11,54,46
9,8,10,11,55,37
9,8,10,11,56,56
9,8,10,11,57,33
9,8,10,11,58,52
9,8,10,11,59,41
9,8,10,11,60,52
9,8,10,11,61,49
9,8,10,11,62,58
9,8,10,11,63,79
9,8,10,11,64,88
9,8,10,11,65,93
9,8,10,11,66,86
9,8,10,11,67,95
9,8,10,11,68,104
9,8,10,11,69,114
9,8,10,11,70,108
9,8,10,11,71,108
9,8,10,11,72,102
9,8,10,11,73,116
9,8,10,11,74,110
9,8,10,11,75,109
9,8,10,11,76,120
9,8,10,11,77,112
9,8,10,11,78,119
9,8,10,11,79,132
9,8,10,11,80,125
9,8,10,11,81,131
9,8,10,11,82,136
9,8,10,13,40,16
9,8,10,13,41,18
9,8,10,13,42,12
9,8,10,13,43,14
9,8,10,13,44,11
9,8,10,13,45,28
9,8,10,13,46,22
9,8,10,13,47,27
9,8,10,13,48,29
9,8,10,13,49,47
9,8,10,13,50,38
9,8,10,13,51,45
9,8,10,13,52,46
9,8,10,13,53,40
9,8,10,13,54,43
9,8,10,13,55,46
9,8,10,13,56,45
9,8,10,13,57,49
9,8,10,13,58,48
9,8,10,13,59,44
9,8,10,13,60,58
9,8,10,13,61,58
9,8,10,13,62,64
9,8,10,13,63,72
9,8,10,13,64,74
9,8,10,13,65,93
9,8,10,13,66,101
9,8,10,13,67,101
9,8,10,13,68,106
9,8,10,13,69,121
9,8,10,13,70,104
9,8,10,13,71,105
9,8,10,13,72,120
9,8,10,13,73,107
9,8,10,13,74,101
9,8,10,13,75,124
9,8,10,13,76,113
9,8,10,13,77,126
9,8,10,13,78,132
9,8,10,13,79,131
9,8,10,13,80,142
9,8,10,13,81,127
9,8,10,13,82,132
9,8,10,15,40,12
9,8,10,15,41,9
9,8,10,15,42,8
9,8,10,15,43,23
9,8,10,15,44,18
9,8,10,15,45,21
9,8,10,15,46,30
9,8,10,15,47,30
9,8,10,15,48,35
9,8,10,15,49,30
9,8,10,15,50,40
9,8,10,15,51,42
9,8,10,15,52,41
9,8,10,15,53,43
9,8,10,15,54,41
9,8,10,15,55,45
9,8,10,15,56,47
9,8,10,15,57,39
9,8,10,15,58,32
9,8,10,15,59,55
9,8,10,15,60,53
9,8,10,15,61,57
9,8,10,15,62,69
9,8,10,15,63,83
9,8,10,15,64,93
9,8,10,15,65,86
9,8,10,15,66,103
9,8,10,15,67,89
9,8,10,15,68,108
9,8,10,15,69,102
9,8,10,15,70,111
9,8,10,15,71,102
9,8,10,15,72,109
9,8,10,15,73,108
9,8,10,15,74,122
9,8,10,15,75,123
9,8,10,15,76,119
9,8,10,15,77,115
9,8,10,15,78,123
9,8,10,15,79,126
9,8,10,15,80,142
9,8,10,15,81,141
9,8,10,15,82,139
11,8,10,0,40,8
11,8,10,0,41,10
