No,A,B,S,C,HP,Win,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85
25,8,8,10,0,75,453,31,37,24,36,26,24,25,14,5,1,0,0,0,0,1,2,7,5,13,30,28,11,15,13,2,2,4,5,3,5,12,6,4,7,2,0,0,0,0,0,0,0,0,0,1,13,14,7,14,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,8,8,10,0,78,535,16,13,35,39,31,43,30,26,36,17,15,5,2,0,0,0,0,0,3,7,14,17,29,22,22,13,8,2,1,1,7,4,9,2,1,7,6,0,0,0,0,0,0,0,0,0,0,1,11,11,6,16,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
27,8,8,10,0,77,489,16,30,22,36,30,31,28,22,16,12,5,0,0,0,0,0,0,0,13,15,25,25,25,18,22,8,4,2,2,6,5,8,6,5,3,9,0,0,0,0,0,0,0,0,0,0,0,4,7,12,14,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
32,8,8,10,1,53,100,8,5,2,1,3,8,5,3,2,9,6,5,1,0,0,0,0,0,0,0,0,0,0,11,9,10,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,8,8,10,1,56,172,22,19,10,15,5,3,2,4,3,6,7,9,8,8,4,1,0,0,0,0,0,0,0,0,0,2,13,9,11,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,8,8,10,1,55,162,30,21,10,6,1,0,2,6,7,7,2,8,9,6,0,0,0,0,0,0,0,0,0,0,0,9,11,4,16,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,8,8,10,1,54,147,23,11,7,2,0,0,4,7,8,13,5,10,3,1,0,0,0,0,0,0,0,0,0,0,12,12,13,10,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,8,8,10,1,57,190,19,27,19,18,16,2,1,0,2,8,4,10,11,6,8,4,1,0,0,0,0,0,0,0,0,0,1,7,7,6,10,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,8,8,10,1,58,217,17,24,32,17,12,15,9,4,1,4,6,3,5,2,12,6,11,4,0,0,0,0,0,0,0,0,0,1,4,7,7,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,8,8,10,1,59,222,7,18,22,27,35,13,10,2,1,0,2,4,4,0,7,10,8,6,1,0,0,0,0,0,0,0,0,0,3,5,11,11,9,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
