Type,A,B,HP,Win
0,3,5,28,151
0,3,5,29,140
0,3,5,30,135
0,3,8,1,14
0,3,8,2,14
0,3,8,3,14
0,3,8,4,14
0,3,8,5,56
0,3,8,6,52
0,3,8,7,58
0,3,8,8,56
0,3,8,9,90
0,3,8,10,64
0,3,8,11,93
0,3,8,12,95
0,3,8,13,100
0,3,8,14,103
0,3,8,15,106
0,3,8,16,100
0,3,8,17,111
0,3,8,18,120
0,3,8,19,112
0,3,8,20,134
0,3,8,21,130
0,3,8,22,128
0,3,8,23,130
0,3,8,24,132
0,3,8,25,144
0,3,8,26,140
0,3,8,27,155
0,3,8,28,146
0,3,8,29,155
0,3,8,30,162
0,3,10,1,13
0,3,10,2,15
0,3,10,3,16
0,3,10,4,11
0,3,10,5,52
0,3,10,6,62
0,3,10,7,55
0,3,10,8,50
0,3,10,9,74
0,3,10,10,90
0,3,10,11,91
0,3,10,12,103
0,3,10,13,105
0,3,10,14,108
0,3,10,15,109
0,3,10,16,107
0,3,10,17,125
0,3,10,18,105
0,3,10,19,116
0,3,10,20,125
0,3,10,21,136
0,3,10,22,124
0,3,10,23,132
0,3,10,24,134
0,3,10,25,145
0,3,10,26,146
0,3,10,27,146
0,3,10,28,157
0,3,10,29,152
0,3,10,30,147
0,3,12,1,10
0,3,12,2,15
0,3,12,3,11
0,3,12,4,14
0,3,12,5,60
0,3,12,6,53
0,3,12,7,62
0,3,12,8,65
0,3,12,9,84
0,3,12,10,99
0,3,12,11,105
0,3,12,12,108
0,3,12,13,103
0,3,12,14,104
0,3,12,15,116
0,3,12,16,93
0,3,12,17,117
0,3,12,18,126
0,3,12,19,124
0,3,12,20,126
0,3,12,21,133
0,3,12,22,136
0,3,12,23,126
0,3,12,24,134
0,3,12,25,147
0,3,12,26,143
0,3,12,27,149
0,3,12,28,151
0,3,12,29,144
0,3,12,30,152
0,3,14,1,16
0,3,14,2,15
0,3,14,3,15
0,3,14,4,15
0,3,14,5,53
0,3,14,6,46
0,3,14,7,63
0,3,14,8,54
0,3,14,9,93
0,3,14,10,93
0,3,14,11,96
0,3,14,12,96
0,3,14,13,101
0,3,14,14,99
0,3,14,15,109
0,3,14,16,108
0,3,14,17,108
0,3,14,18,124
0,3,14,19,116
0,3,14,20,126
0,3,14,21,133
0,3,14,22,137
0,3,14,23,137
0,3,14,24,131
0,3,14,25,153
0,3,14,26,148
0,3,14,27,151
0,3,14,28,156
0,3,14,29,156
0,3,14,30,167
0,6,0,1,18
0,6,0,2,11
0,6,0,3,19
0,6,0,4,24
0,6,0,5,19
0,6,0,6,63
0,6,0,7,66
0,6,0,8,73
0,6,0,9,70
0,6,0,10,75
0,6,0,11,108
0,6,0,12,113
0,6,0,13,103
0,6,0,14,121
0,6,0,15,111
0,6,0,16,105
0,6,0,17,120
0,6,0,18,101
0,6,0,19,121
0,6,0,20,130
0,6,0,21,136
0,6,0,22,118
0,6,0,23,133
0,6,0,24,129
0,6,0,25,140
0,6,0,26,150
0,6,0,27,141
0,6,0,28,148
0,6,0,29,143
0,6,0,30,139
0,6,1,1,16
0,6,1,2,15
0,6,1,3,23
0,6,1,4,13
0,6,1,5,18
0,6,1,6,68
0,6,1,7,57
0,6,1,8,70
0,6,1,9,61
0,6,1,10,71
0,6,1,11,100
0,6,1,12,114
0,6,1,13,101
0,6,1,14,109
0,6,1,15,111
0,6,1,16,107
0,6,1,17,121
0,6,1,18,126
0,6,1,19,116
0,6,1,20,128
0,6,1,21,125
0,6,1,22,120
0,6,1,23,125
0,6,1,24,148
0,6,1,25,149
0,6,1,26,145
0,6,1,27,146
0,6,1,28,157
0,6,1,29,151
0,6,1,30,162
0,6,3,1,16
0,6,3,2,15
0,6,3,3,14
0,6,3,4,16
0,6,3,5,67
0,6,3,6,62
0,6,3,7,62
0,6,3,8,61
0,6,3,9,99
0,6,3,10,111
0,6,3,11,104
0,6,3,12,111
0,6,3,13,112
0,6,3,14,109
0,6,3,15,105
0,6,3,16,118
0,6,3,17,112
0,6,3,18,124
0,6,3,19,120
0,6,3,20,127
0,6,3,21,118
0,6,3,22,144
0,6,3,23,150
0,6,3,24,144
0,6,3,25,153
0,6,3,26,151
0,6,3,27,157
0,6,3,28,157
0,6,3,29,162
0,6,3,30,166
0,6,5,1,21
0,6,5,2,15
0,6,5,3,19
0,6,5,4,16
0,6,5,5,77
0,6,5,6,63
0,6,5,7,62
0,6,5,8,62
