No,A,B,S,C,HP,Win,Frame
393,8,5,5,14,58,1,450
395,8,5,5,14,60,1,537
394,8,5,5,14,59,1,622
396,8,8,5,6,50,0,0
401,8,8,5,6,55,1,542
398,8,8,5,6,52,1,579
397,8,8,5,6,51,1,698
399,8,8,5,6,53,1,612
403,8,8,5,6,57,1,590
400,8,8,5,6,54,2,1308
404,8,8,5,6,58,2,1185
402,8,8,5,6,56,2,1241
405,8,8,5,6,59,1,595
406,8,8,5,6,60,2,1210
407,8,8,5,9,50,2,1171
408,8,8,5,9,51,1,685
409,8,8,5,9,52,1,756
410,8,8,5,9,53,0,0
411,8,8,5,9,54,0,0
412,8,8,5,9,55,2,1129
416,8,8,5,9,59,2,1050
413,8,8,5,9,56,2,1155
417,8,8,5,9,60,1,573
414,8,8,5,9,57,0,0
418,8,8,5,11,50,0,0
419,8,8,5,11,51,2,1217
420,8,8,5,11,52,1,661
422,8,8,5,11,54,2,1211
421,8,8,5,11,53,1,663
423,8,8,5,11,55,1,491
426,8,8,5,11,58,1,566
427,8,8,5,11,59,1,651
424,8,8,5,11,56,1,590
429,8,8,5,14,50,0,0
425,8,8,5,11,57,0,0
431,8,8,5,14,52,2,1072
430,8,8,5,14,51,2,1223
428,8,8,5,11,60,0,0
433,8,8,5,14,54,1,544
432,8,8,5,14,53,1,632
435,8,8,5,14,56,1,597
434,8,8,5,14,55,1,590
436,8,8,5,14,57,2,1176
437,8,8,5,14,58,1,555
438,8,8,5,14,59,1,684
443,8,11,5,6,53,0,0
440,8,11,5,6,50,1,659
444,8,11,5,6,54,0,0
439,8,8,5,14,60,0,0
441,8,11,5,6,51,1,625
442,8,11,5,6,52,2,1244
445,8,11,5,6,55,2,1118
446,8,11,5,6,56,2,1391
448,8,11,5,6,58,2,1248
449,8,11,5,6,59,1,589
447,8,11,5,6,57,0,0
451,8,11,5,9,50,0,0
450,8,11,5,6,60,1,836
452,8,11,5,9,51,0,0
453,8,11,5,9,52,1,618
454,8,11,5,9,53,2,1287
455,8,11,5,9,54,2,1143
456,8,11,5,9,55,2,1243
457,8,11,5,9,56,0,0
458,8,11,5,9,57,2,1405
460,8,11,5,9,59,2,1551
459,8,11,5,9,58,0,0
461,8,11,5,9,60,2,1191
465,8,11,5,11,53,2,1108
462,8,11,5,11,50,2,1312
464,8,11,5,11,52,0,0
463,8,11,5,11,51,1,545
466,8,11,5,11,54,0,0
468,8,11,5,11,56,1,607
467,8,11,5,11,55,2,1394
469,8,11,5,11,57,2,1211
471,8,11,5,11,59,0,0
470,8,11,5,11,58,2,1327
472,8,11,5,11,60,2,1298
473,8,11,5,14,50,2,1280
476,8,11,5,14,53,1,488
474,8,11,5,14,51,1,660
475,8,11,5,14,52,1,546
477,8,11,5,14,54,1,601
415,8,8,5,9,58,1,621
478,8,11,5,14,55,1,715
480,8,11,5,14,57,2,1303
479,8,11,5,14,56,0,0
481,8,11,5,14,58,1,524
484,8,13,5,6,50,0,0
482,8,11,5,14,59,2,1237
485,8,13,5,6,51,1,599
483,8,11,5,14,60,2,1243
486,8,13,5,6,52,1,610
487,8,13,5,6,53,0,0
489,8,13,5,6,55,2,1159
493,8,13,5,6,59,1,614
488,8,13,5,6,54,1,653
492,8,13,5,6,58,1,603
494,8,13,5,6,60,0,0
491,8,13,5,6,57,1,681
490,8,13,5,6,56,1,759
500,8,13,5,9,55,1,536
497,8,13,5,9,52,2,1171
496,8,13,5,9,51,2,1212
498,8,13,5,9,53,2,1110
495,8,13,5,9,50,0,0
499,8,13,5,9,54,1,624
501,8,13,5,9,56,2,1113
502,8,13,5,9,57,2,1036
504,8,13,5,9,59,1,561
503,8,13,5,9,58,2,1310
506,8,13,5,11,50,2,1151
505,8,13,5,9,60,0,0
510,8,13,5,11,54,1,462
507,8,13,5,11,51,2,1248
511,8,13,5,11,55,0,0
508,8,13,5,11,52,1,574
509,8,13,5,11,53,1,610
514,8,13,5,11,58,2,1119
512,8,13,5,11,56,2,1209
516,8,13,5,11,60,2,1336
517,8,13,5,14,50,1,622
513,8,13,5,11,57,1,662
519,8,13,5,14,52,1,433
515,8,13,5,11,59,0,0
518,8,13,5,14,51,1,716
520,8,13,5,14,53,2,1116
521,8,13,5,14,54,1,577
522,8,13,5,14,55,0,0
523,8,13,5,14,56,1,640
524,8,13,5,14,57,2,1373
525,8,13,5,14,58,1,551
527,8,13,5,14,60,1,510
526,8,13,5,14,59,2,1463
528,11,0,5,6,50,0,0
533,11,0,5,6,55,1,614
532,11,0,5,6,54,1,549
530,11,0,5,6,52,1,610
531,11,0,5,6,53,1,584
529,11,0,5,6,51,0,0
535,11,0,5,6,57,1,530
534,11,0,5,6,56,2,1304
536,11,0,5,6,58,1,605
538,11,0,5,6,60,1,665
537,11,0,5,6,59,2,1493
539,11,0,5,9,50,1,480
542,11,0,5,9,53,1,650
540,11,0,5,9,51,1,554
541,11,0,5,9,52,0,0
543,11,0,5,9,54,1,609
546,11,0,5,9,57,2,1163
547,11,0,5,9,58,1,615
545,11,0,5,9,56,2,1276
544,11,0,5,9,55,1,571
549,11,0,5,9,60,2,1274
552,11,0,5,11,52,0,0
548,11,0,5,9,59,2,1429
551,11,0,5,11,51,1,580
550,11,0,5,11,50,1,728
554,11,0,5,11,54,1,629
553,11,0,5,11,53,1,549
555,11,0,5,11,55,0,0
556,11,0,5,11,56,0,0
558,11,0,5,11,58,2,1164
557,11,0,5,11,57,2,1246
561,11,0,5,14,50,1,571
559,11,0,5,11,59,2,1223
563,11,0,5,14,52,1,480
565,11,0,5,14,54,1,587
562,11,0,5,14,51,1,591
564,11,0,5,14,53,0,0
560,11,0,5,11,60,1,593
567,11,0,5,14,56,1,586
566,11,0,5,14,55,1,638
569,11,0,5,14,58,1,546
568,11,0,5,14,57,0,0
571,11,0,5,14,60,2,1255
574,11,3,5,6,52,1,592
570,11,0,5,14,59,0,0
572,11,3,5,6,50,0,0
580,11,3,5,6,58,1,625
573,11,3,5,6,51,0,0
578,11,3,5,6,56,0,0
576,11,3,5,6,54,2,1139
577,11,3,5,6,55,1,581
575,11,3,5,6,53,2,1376
581,11,3,5,6,59,2,1127
579,11,3,5,6,57,1,649
