No,Type,A,B,S,C,HP,Win,Frame
463,0,8,11,5,11,51,0,0
462,0,8,11,5,11,50,2,1250
464,0,8,11,5,11,52,0,0
465,0,8,11,5,11,53,2,1159
468,0,8,11,5,11,56,0,0
466,0,8,11,5,11,54,2,1187
467,0,8,11,5,11,55,0,0
470,0,8,11,5,11,58,1,831
472,0,8,11,5,11,60,2,1242
473,0,8,11,5,14,50,1,600
469,0,8,11,5,11,57,1,613
474,0,8,11,5,14,51,1,576
471,0,8,11,5,11,59,1,615
476,0,8,11,5,14,53,0,0
477,0,8,11,5,14,54,2,1256
475,0,8,11,5,14,52,0,0
478,0,8,11,5,14,55,2,1293
481,0,8,11,5,14,58,0,0
480,0,8,11,5,14,57,1,604
484,0,8,13,5,6,50,2,1146
482,0,8,11,5,14,59,2,1200
479,0,8,11,5,14,56,2,1433
483,0,8,11,5,14,60,2,1298
495,0,8,13,5,9,50,1,561
487,0,8,13,5,6,53,2,1174
489,0,8,13,5,6,55,2,1264
488,0,8,13,5,6,54,1,617
486,0,8,13,5,6,52,1,572
492,0,8,13,5,6,58,2,1270
485,0,8,13,5,6,51,1,574
491,0,8,13,5,6,57,0,0
490,0,8,13,5,6,56,1,991
496,0,8,13,5,9,51,1,580
494,0,8,13,5,6,60,1,590
493,0,8,13,5,6,59,0,0
498,0,8,13,5,9,53,0,0
497,0,8,13,5,9,52,1,604
499,0,8,13,5,9,54,1,621
503,0,8,13,5,9,58,1,558
500,0,8,13,5,9,55,1,655
501,0,8,13,5,9,56,1,701
504,0,8,13,5,9,59,1,588
507,0,8,13,5,11,51,1,673
506,0,8,13,5,11,50,1,616
502,0,8,13,5,9,57,2,1411
510,0,8,13,5,11,54,2,1138
508,0,8,13,5,11,52,1,656
509,0,8,13,5,11,53,1,646
511,0,8,13,5,11,55,1,580
505,0,8,13,5,9,60,1,558
513,0,8,13,5,11,57,2,1192
512,0,8,13,5,11,56,2,1392
514,0,8,13,5,11,58,2,1281
515,0,8,13,5,11,59,1,488
516,0,8,13,5,11,60,1,634
517,0,8,13,5,14,50,1,617
518,0,8,13,5,14,51,2,1142
519,0,8,13,5,14,52,2,1175
520,0,8,13,5,14,53,2,1163
524,0,8,13,5,14,57,1,682
