Type,A,B,HP,Win
0,3,12,17,55
0,3,12,18,56
0,3,12,19,53
0,3,12,20,65
0,3,12,21,62
0,3,12,22,71
0,3,12,23,70
0,3,12,24,72
0,3,12,25,73
0,3,12,26,76
0,3,12,27,74
0,3,12,28,68
0,3,12,29,73
0,3,12,30,79
0,3,14,1,9
0,3,14,2,6
0,3,14,3,6
0,3,14,4,12
0,3,14,5,24
0,3,14,6,26
0,3,14,7,34
0,3,14,8,27
0,3,14,9,41
0,3,14,10,52
0,3,14,11,48
0,3,14,12,50
0,3,14,13,46
0,3,14,14,58
0,3,14,15,61
0,3,14,16,55
0,3,14,17,59
0,3,14,18,64
0,3,14,19,63
0,3,14,20,56
0,3,14,21,64
0,3,14,22,65
0,3,14,23,68
0,3,14,24,72
0,3,14,25,78
0,3,14,26,76
0,3,14,27,67
0,3,14,28,67
0,3,14,29,77
0,3,14,30,78
0,6,0,1,10
0,6,0,2,9
0,6,0,3,8
0,6,0,4,12
0,6,0,5,11
0,6,0,6,32
0,6,0,7,32
0,6,0,8,33
0,6,0,9,32
0,6,0,10,35
0,6,0,11,54
0,6,0,12,57
0,6,0,13,55
0,6,0,14,46
0,6,0,15,43
0,6,0,16,61
0,6,0,17,59
0,6,0,18,56
0,6,0,19,55
0,6,0,20,61
0,6,0,21,63
0,6,0,22,66
0,6,0,23,68
0,6,0,24,64
0,6,0,25,74
0,6,0,26,69
0,6,0,27,76
0,6,0,28,75
0,6,0,29,73
0,6,0,30,75
0,6,1,1,6
0,6,1,2,11
0,6,1,3,9
0,6,1,4,7
0,6,1,5,9
0,6,1,6,33
0,6,1,7,40
0,6,1,8,30
0,6,1,9,34
0,6,1,10,33
0,6,1,11,49
0,6,1,12,46
0,6,1,13,50
0,6,1,14,53
0,6,1,15,62
0,6,1,16,59
0,6,1,17,54
0,6,1,18,56
0,6,1,19,64
0,6,1,20,62
0,6,1,21,58
0,6,1,22,64
0,6,1,23,55
0,6,1,24,71
0,6,1,25,71
0,6,1,26,80
0,6,1,27,78
0,6,1,28,69
0,6,1,29,78
0,6,1,30,76
0,6,3,1,9
0,6,3,2,8
0,6,3,3,11
0,6,3,4,11
0,6,3,5,37
0,6,3,6,32
0,6,3,7,36
0,6,3,8,32
0,6,3,9,49
0,6,3,10,47
0,6,3,11,52
0,6,3,12,57
0,6,3,13,61
0,6,3,14,51
0,6,3,15,58
0,6,3,16,57
0,6,3,17,55
0,6,3,18,66
0,6,3,19,64
0,6,3,20,67
0,6,3,21,64
0,6,3,22,69
0,6,3,23,71
0,6,3,24,73
0,6,3,25,69
0,6,3,26,74
0,6,3,27,73
0,6,3,28,71
0,6,3,29,79
0,6,3,30,84
0,6,5,1,14
0,6,5,2,6
0,6,5,3,11
0,6,5,4,14
